Production Budget,Domestic Gross
48000000,37562568
2000000,6719300
1500000,2380606
73000000,55591409
1000000,21210
300000,10876
22000000,176484651
65000000,93828745
55000000,1147784
65000000,216335085
15000000,17507368
10000000,19843795
50000000,44705766
26000000,65705772
5000000,23047939
80000000,140464664
13000000,8064972
60000000,23385416
20000000,37672944
10000000,244465
5000000,5502773
45000000,70141876
14000000,15064948
1000000,3395581
13000000,16757163
250000,203134
19000000,8123860
60000000,12069719
1300000,1647780
1000000,1009819
100000,2652246
35000000,141186864
30000000,23337196
2000000,134624
55000000,41610884
14000000,38116707
8000000,1793359
1000000,22434
55000000,78750909
140000000,130444603
40000000,55143823
68000,3221152
60000000,46850558
53000000,22852487
25000000,32404188
3000000,2746453
75000000,14623082
1000000,582024
20000000,20268825
12000000,12905901
10000000,6719864
25000000,780326
20000000,18253415
12000000,22921898
300000,373615
250000,489220
70000000,70187658
50000000,34645374
26000000,100317794
17000000,16316273
10000000,17105219
85000000,44650003
24000000,40020622
85000000,111549836
45000000,162798565
28000000,100494685
12000000,5078660
3000000,24793251
2900000,5969553
80000000,18319860
15000000,10513979
10000000,9949470
80000000,74339294
13000000,10020081
10000000,25358996
8000000,146083
65000000,115821495
60000000,101413188
52000000,36400491
80000000,50632037
60000000,56709981
50000000,135014968
50000000,91137662
15000000,40283321
10000000,245359
34000000,11263966
7000000,7309628
48000000,60652036
28000000,8891623
17000000,11634458
8000000,17843379
1700000,2039192
75000000,14010690
40000000,22365133
30000000,12017369
16000000,52894169
1600000,27795
30000000,4167493
180000,933933
10000000,63465522
40000000,28544120
6000,48482
22000000,19288130
600000,15030
10000000,10827813
3000000,3076820
40000000,36443442
6000000,6852450
66000,541636
23000000,10660147
12000000,2062406
1000000,5494
60000000,22508689
14000000,4741987
5000000,19421271
4000000,64359
65000000,171479930
13000000,38177966
55000000,34105207
8300000,2160710
5000000,99147
50000000,23159305
13000000,6276869
3000000,51773
75000000,64062587
33000000,8408835
20700000,2840417
14000000,6552255
8500000,14943582
66000000,87707396
15000000,4023741
2000000,1152411
50000000,81526121
6000000,4398989
30000000,106885658
11000000,38230075
1350000,3897569
68000000,28965197
48000000,66488090
21000000,21731001
14000000,14395874
115000000,474544677
15000000,8322608
375000,617172
42000000,116089678
16000000,11810854
4000000,399793
68000000,29762011
48000000,69304264
40000000,293506292
10000000,836641
145000000,171091819
60000000,102705852
10700000,18542974
1750000,7267324
30000000,163479795
175000000,113805681
21000000,52037603
80000000,155385488
24000000,16304786
600000,140539099
65000000,55691208
27000000,31770413
6000000,25059640
4000000,34145
80000000,91188905
75000000,97387965
10000000,10571408
60000000,73648228
70000000,152257509
500000,985341
250000,18195
64000000,31054924
14000000,30628981
10000000,3193102
2000000,11540607
700000,10508
32000000,2899970
55000000,66458769
25000000,10115014
16000000,4217115
40000000,33864342
40000000,10447421
7000000,14026509
125000000,32698899
34000000,10672566
22000000,9818792
15000000,11614954
7000000,2165637
5700000,69582
6500000,16875273
1600000,6026908
21500000,24419219
12000000,101800948
15000000,130058047
50000000,35188640
36000000,68208190
12000000,178287
3500000,9871
250000,178095
40000000,116735231
28700000,4559569
18000000,229311
15000000,4956401
35000000,206040085
32000000,50041732
12000000,21133087
4000000,2793776
30000000,85744662
13000000,5871603
60000000,136801374
18000000,65535067
11900000,81897
65000000,37030102
50000000,27100030
10000000,6197866
7200000,12610552
32000000,16640210
21000000,17396
20000000,10570375
15000000,1954202
9000000,34102780
6500000,10155691
500000,2047570
20000000,2374107
19000000,40846082
13000000,22858926
3250000,7680
10000000,10019109
135000000,126930660
90000000,245852179
70000000,101068340
100000000,66889043
35000000,630779
27000000,4485485
312000,1350248
60000000,36850101
35000000,26613620
30000000,52880016
4500000,1687311
40000000,13508635
30000000,11578022
21000000,17760244
13000000,27151490
10000000,15164492
3000000,9017070
50000000,14271297
23000000,18653615
15000000,824295
10000000,30651422
105000000,140015224
90000000,58220776
75000000,39251128
37000000,22450975
20000000,6201757
24000000,28871190
60000000,75530832
52000000,34580635
45000000,71423726
40000000,81292135
36000000,14378353
25000000,13038660
24000000,8427204
27000,8231
38000000,50699241
80000000,60507228
4000000,9821335
15000000,12801190
3000000,4142507
1000000,779137
60000000,14218868
25000,195043
9000000,20035310
7000000,30471
36000000,2954405
15000000,16500786
4000000,185577
33000000,117559438
40000000,36037909
24000000,57262492
23000000,39235088
9000000,16963963
35000000,19389454
36000000,23360779
50000000,6291602
25000000,14983572
16000000,15427192
2000000,3330230
90000000,125305545
60000000,30695227
50000000,125548685
23000000,53302314
25000000,55973336
15000000,10494147
15000000,8735529
95000000,50802661
20000000,27277055
15000000,35007180
40000000,89138076
10000000,1638202
90000000,73209340
65000000,90454043
45000000,60786269
4000000,12178602
4000000,267972
43000000,37035515
29000000,37036404
8000000,15070285
3000000,4170647
3500000,886410
62000000,77086030
15000000,27441122
14000000,5108820
6000000,4859475
58000000,35231365
31000000,44983704
15000000,33771174
10000000,5241315
103000000,187683805
34000000,6543194
7000000,18642318
3300000,104257
1300000,609042
1000000,428535
127500000,137748063
18000000,17266359
16000000,68525609
120000000,215409889
55000000,56932305
2000000,121807
55000000,166225040
40000000,14967182
10000000,2185266
5000000,9628751
4500000,3635482
80000000,9103630
75000000,22751979
53012938,70327868
16000000,21799652
2500000,1282084
42000000,106793915
51000000,90570999
150000,110719
110000000,113330342
120000000,182618434
76000000,26000610
60000000,61322858
24000000,32662299
24000000,12372410
65000000,69688384
19000000,157019771
1200000,2205627
75000000,157299717
250000,1055671
15000000,5217498
90000000,155464351
30000000,43746923
20000000,15464026
19000000,15911332
84000000,123307945
33000000,28946615
24000000,25170054
9000000,6047856
2500000,9598
1000000,623791
75000000,68473360
65000000,32598931
35000000,15185241
15000000,128067808
10000000,30093107
35000000,61280963
3000000,38168022
1000000,10037390
40000000,30199105
23000000,13019253
10000000,68353550
40000,277233
103300000,101643008
500000,1115313
60000000,32522352
35000000,15325127
16000000,4734235
225000,1032075
15000000,21468807
12500000,4157491
8000000,5018450
1000000,12996
6000000,18621249
30000000,115654751
9000000,3134509
1000000,1744858
90000000,60874615
38000000,18653746
800000,144583
300000,2637726
80000000,39442871
80000000,17480890
32000000,48814909
1200000,9180275
28000000,16779636
11000000,13592872
9000000,17804273
5000000,21995263
3000000,39852
48000000,37879996
40000000,33508922
20000000,882710
2000000,11546543
65000000,10014234
22000000,13555988
15000000,26421314
5250000,20097
42000,241816
600000,173599
50000000,39778599
20000000,45542421
13000000,60008303
200000,1161843
50000000,44737059
40000000,37752931
40000000,29374178
10000000,1276984
6800000,927107
123000000,260044825
82000000,34543701
35000000,36805288
30000000,76501438
85000000,66941559
73243106,94999143
13500000,7060876
9500000,57176582
7000000,34099640
80000000,21471685
18000000,17200925
12000000,6982680
8000000,4714090
2000000,1577287
100000000,89296573
65000000,182805123
25000000,71309760
13000000,46729374
6000000,8596914
43000000,51768623
10000000,12008642
85000000,233632142
80000000,34566746
60000000,75764085
45000000,106807667
45000000,15527125
28000000,33000377
26000000,45506619
10000000,3041803
4000000,75078
48000000,124107476
13000000,622023
8000000,8279017
30000000,32267774
22000000,55762229
45000000,19719930
28000000,60400856
18500000,4221341
14000000,10397365
10000000,20384136
40000000,66808615
16000000,33357476
13500000,687081
13000000,3058380
115000000,289423425
53000000,45207112
49000000,43905746
10350000,33201661
40000000,25288103
30000000,64172251
10000000,36696761
75000000,5409517
62000000,15738632
90000000,226164286
30000000,108244774
26000000,16521410
85000000,51396781
33000000,51758599
5000000,25544867
250000,902835
50000,2335352
38000000,40334024
25000000,5516708
6000000,27457409
35000000,112692062
23000000,27338033
18000000,13491653
11000000,13558739
2000000,5383834
98000000,202007640
2000000,49388
60000000,93375151
45000000,71277420
25000000,71500556
25000000,25590119
15000000,14249005
105000000,6712451
72000000,32616869
8000000,19585
5000000,6755271
45000000,76261036
28000000,50255310
23000000,21973182
12000000,17292381
53000000,57386369
50000000,267655011
38000000,24044532
151500000,198539855
40000000,4777007
30000000,52990775
28000000,74058698
3000000,17052128
1000000,852206
25000000,36833473
10000,94596
4300000,6946056
94000000,131144183
1800000,3050934
72000000,112950721
38000000,144512310
16000000,28734552
90000000,78616689
13000000,16929123
3500000,3293258
40000000,27053815
38000000,16991902
14000000,3100650
13000000,22235901
700000,1140965
85000000,183417150
6000000,1030920
1000000,1067481
68000000,71069884
18000000,96493426
5000000,5308707
2100000,881824
93000000,181166115
46000000,93607673
12000000,450594
6000000,3067312
5500000,6217849
100000000,180011740
400000,44452
90000000,84052762
80000000,69772969
80000000,38311134
3000000,8823109
15000000,7219578
48000000,50315140
57000000,25528495
48000000,56607223
35000000,13264986
6500000,64148
1000000,113433
28000000,8434601
26000000,7496522
22000000,30059386
17000000,19693891
13000000,5002310
10000000,37904175
5000000,16017403
1000000,17127
87000000,165092266
22000000,19351569
42000000,24375436
12000000,146028
10000000,11560259
10000,673780
40000000,70836296
35000000,23483357
100000,1358
22000000,17951431
21000000,40222729
22000000,6047691
8500000,4273372
50000000,54997476
31000000,24185781
28000000,45172250
2000000,638227
70000000,13596911
30000000,145096820
17000000,96522687
1500000,378176
60000000,18208078
47000000,29781453
35000000,31598308
10000000,7316658
19000000,41867960
18000000,15652637
10000000,4365455
10000000,226792
4500000,1472801
22000000,14252830
16000000,27087695
7000000,23247539
41000000,56083966
137000000,32131830
4000000,10097096
125000000,317575550
6000000,2025238
90000000,62362560
35000000,33422806
11000000,13906394
1000000,2402459
1700000,35930604
40000000,58855732
38000000,623374
30000000,10965209
24000000,29823162
13000000,91038276
75000000,41523271
11000000,23978402
70000000,100614858
28000000,52353636
15000000,37882551
7000000,4720371
5500000,5580479
109000000,315544750
78000000,170708996
72000000,27796042
38000000,22770864
25000000,80936232
12000000,31155435
